,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
OUCHY,Restaurant Croix d'Ouchy,407,3'147.30,3'386.40,3'386.40,0.00,0.00,2'702.20,2'907.50,2'907.50,0.00,0.00,2'842.80,3'058.80,3'058.80,0.00,0.00,2'822.50,3'037.05,3'037.05,0.00,0.00,2'834.45,3'049.80,3'049.80,0.00,0.00,3'215.70,3'460.10,3'460.10,0.00,0.00,3'392.25,3'650.20,3'650.20,0.00,0.00,2'472.55,2'660.55,2'660.55,0.00,0.00,23'429.75,25'210.40,25'210.40,0.00,0.00,3'764.15,4'050.30,4'050.30,0.00,0.00,3'170.40,3'411.45,3'411.45,0.00,0.00,3'422.25,3'682.40,3'682.40,0.00,0.00,3'187.95,3'430.30,3'430.30,0.00,0.00,3'392.55,3'650.30,3'650.30,0.00,0.00,3'979.25,4'281.75,4'281.75,0.00,0.00,3'164.05,3'404.45,3'404.45,0.00,0.00,2'929.25,3'151.90,3'151.90,0.00,0.00,3'115.20,3'351.90,3'351.90,0.00,0.00,4'369.55,4'701.60,4'701.60,0.00,0.00,3'540.55,3'809.70,3'809.70,0.00,0.00,3'779.75,4'066.85,4'066.85,0.00,0.00,41'814.90,44'992.90,44'992.90,0.00,0.00,3'322.95,3'575.60,3'575.60,0.00,0.00,3'126.90,3'364.60,3'364.60,0.00,0.00,4'006.45,4'311.00,4'311.00,0.00,0.00,3'576.05,3'847.75,3'847.75,0.00,0.00,3'487.70,3'752.75,3'752.75,0.00,0.00,3'856.00,4'149.05,4'149.05,0.00,0.00,3'369.00,3'624.95,3'624.95,0.00,0.00,2'819.95,3'034.30,3'034.30,0.00,0.00,2'963.55,3'188.75,3'188.75,0.00,0.00,3'844.75,4'136.85,4'136.85,0.00,0.00,4'163.00,4'479.30,4'479.30,0.00,0.00,3'894.70,4'190.65,4'190.65,0.00,0.00,42'431.00,45'655.55,45'655.55,0.00,0.00,3'127.70,3'365.40,3'365.40,0.00,0.00,2'997.10,3'224.90,3'224.90,0.00,0.00,3'455.95,3'718.55,3'718.55,0.00,0.00,3'157.45,3'397.30,3'397.30,0.00,0.00,2'623.45,2'822.95,2'822.95,0.00,0.00,2'944.10,3'167.85,3'167.85,0.00,0.00,2'948.65,3'172.75,3'172.75,0.00,0.00,2'758.45,2'968.00,2'968.00,0.00,0.00,3'550.25,3'820.05,3'820.05,0.00,0.00,3'311.60,3'563.30,3'563.30,0.00,0.00,3'349.75,3'604.25,3'604.25,0.00,0.00,3'333.20,3'586.50,3'586.50,0.00,0.00,37'557.65,40'411.80,40'411.80,0.00,0.00,145'233.30,156'270.65,156'270.65,0.00,0.00
PARC,Hôtel du Parc,472,8'079.95,8'694.15,8'694.15,0.00,0.00,12'945.80,13'929.75,13'929.75,0.00,0.00,9'134.65,9'829.00,9'829.00,0.00,0.00,9'015.10,9'700.40,9'700.40,0.00,0.00,9'757.55,10'499.15,10'499.15,0.00,0.00,12'443.65,13'389.50,13'389.50,0.00,0.00,7'260.00,7'811.75,7'811.75,0.00,0.00,6'244.15,6'718.75,6'718.75,0.00,0.00,74'880.85,80'572.45,80'572.45,0.00,0.00,7'351.80,7'910.40,7'910.40,0.00,0.00,7'104.60,7'644.65,7'644.65,0.00,0.00,8'854.70,9'527.70,9'527.70,0.00,0.00,7'852.85,8'449.70,8'449.70,0.00,0.00,12'981.95,13'968.60,13'968.60,0.00,0.00,12'551.30,13'505.30,13'505.30,0.00,0.00,14'671.65,15'786.70,15'786.70,0.00,0.00,10'765.95,11'584.05,11'584.05,0.00,0.00,11'633.25,12'517.45,12'517.45,0.00,0.00,12'727.20,13'694.40,13'694.40,0.00,0.00,7'227.90,7'777.30,7'777.30,0.00,0.00,4'634.75,4'987.05,4'987.05,0.00,0.00,118'357.90,127'353.30,127'353.30,0.00,0.00,6'483.00,6'975.70,6'975.70,0.00,0.00,7'869.25,8'467.30,8'467.30,0.00,0.00,7'719.70,8'306.40,8'306.40,0.00,0.00,6'228.15,6'701.55,6'701.55,0.00,0.00,10'492.75,11'290.20,11'290.20,0.00,0.00,15'914.90,17'124.40,17'124.40,0.00,0.00,10'608.10,11'414.35,11'414.35,0.00,0.00,9'973.90,10'732.00,10'732.00,0.00,0.00,13'102.80,14'098.55,14'098.55,0.00,0.00,10'407.75,11'198.85,11'198.85,0.00,0.00,7'768.35,8'358.75,8'358.75,0.00,0.00,7'254.05,7'805.40,7'805.40,0.00,0.00,113'822.70,122'473.45,122'473.45,0.00,0.00,7'023.50,7'557.30,7'557.30,0.00,0.00,11'125.40,11'970.85,11'970.85,0.00,0.00,9'410.40,10'125.55,10'125.55,0.00,0.00,6'601.80,7'103.65,7'103.65,0.00,0.00,7'679.75,8'263.40,8'263.40,0.00,0.00,13'213.40,14'217.70,14'217.70,0.00,0.00,12'428.15,13'372.65,13'372.65,0.00,0.00,13'990.70,15'054.00,15'054.00,0.00,0.00,11'607.55,12'489.60,12'489.60,0.00,0.00,9'902.65,10'655.30,10'655.30,0.00,0.00,8'877.80,9'552.60,9'552.60,0.00,0.00,5'207.65,5'603.40,5'603.40,0.00,0.00,117'068.75,125'966.00,125'966.00,0.00,0.00,424'130.20,456'365.20,456'365.20,0.00,0.00
PCI AIGLE,ORPCI,448,,,,,,873.20,939.55,939.55,0.00,0.00,,,,,,,,,,,120.40,129.55,129.55,0.00,0.00,,,,,,,,,,,,,,,,993.60,1'069.10,1'069.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.50,544.05,544.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,505.50,544.05,544.05,0.00,0.00,1'499.10,1'613.15,1'613.15,0.00,0.00
PHOENIX HT,Hôtel Phoenix,433,753.00,810.20,810.20,0.00,0.00,692.00,744.55,744.55,0.00,0.00,1'301.75,1'400.65,1'400.65,0.00,0.00,948.40,1'020.50,1'020.50,0.00,0.00,864.45,930.20,930.20,0.00,0.00,891.10,958.95,958.95,0.00,0.00,664.35,714.85,714.85,0.00,0.00,711.50,765.60,765.60,0.00,0.00,6'826.55,7'345.50,7'345.50,0.00,0.00,850.65,915.35,915.35,0.00,0.00,844.10,908.25,908.25,0.00,0.00,929.50,1'000.15,1'000.15,0.00,0.00,934.05,1'005.05,1'005.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'558.30,3'828.80,3'828.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10'384.85,11'174.30,11'174.30,0.00,0.00
PIZZA HUT,Pizza Hut Kapmann sa,243,548.25,589.85,589.85,0.00,0.00,98.75,106.20,106.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.00,696.05,696.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.00,696.05,696.05,0.00,0.00
PONT NANT2,Hôtel Restaurant Communal,111,341.30,367.25,367.25,0.00,0.00,514.55,553.65,553.65,0.00,0.00,1'275.80,1'372.75,1'372.75,0.00,0.00,1'974.90,2'125.00,2'125.00,0.00,0.00,747.65,804.40,804.40,0.00,0.00,7.20,7.75,7.75,0.00,0.00,7.20,7.75,7.75,0.00,0.00,199.50,214.65,214.65,0.00,0.00,5'068.10,5'453.20,5'453.20,0.00,0.00,233.00,250.70,250.70,0.00,0.00,91.20,98.10,98.10,0.00,0.00,506.40,544.90,544.90,0.00,0.00,,,,,,530.75,571.10,571.10,0.00,0.00,801.75,862.70,862.70,0.00,0.00,1'696.80,1'825.70,1'825.70,0.00,0.00,1'138.85,1'225.40,1'225.40,0.00,0.00,561.25,603.85,603.85,0.00,0.00,,,,,,203.15,218.60,218.60,0.00,0.00,,,,,,5'763.15,6'201.05,6'201.05,0.00,0.00,181.50,195.30,195.30,0.00,0.00,319.35,343.65,343.65,0.00,0.00,117.30,126.20,126.20,0.00,0.00,,,,,,653.10,702.75,702.75,0.00,0.00,174.90,188.20,188.20,0.00,0.00,1'576.80,1'696.60,1'696.60,0.00,0.00,1'278.00,1'375.10,1'375.10,0.00,0.00,585.00,629.45,629.45,0.00,0.00,481.70,518.30,518.30,0.00,0.00,,,,,,28.80,31.00,31.00,0.00,0.00,5'396.45,5'806.55,5'806.55,0.00,0.00,230.85,248.40,248.40,0.00,0.00,84.60,91.00,91.00,0.00,0.00,203.35,218.75,218.75,0.00,0.00,,,,,,396.60,426.75,426.75,0.00,0.00,872.95,939.25,939.25,0.00,0.00,1'260.00,1'355.80,1'355.80,0.00,0.00,991.20,1'066.50,1'066.50,0.00,0.00,873.60,939.95,939.95,0.00,0.00,,,,,,199.80,215.00,215.00,0.00,0.00,,,,,,5'112.95,5'501.40,5'501.40,0.00,0.00,21'340.65,22'962.20,22'962.20,0.00,0.00
REGINA,Hôtel Regina,467,1'369.60,1'473.65,1'473.65,0.00,0.00,1'203.25,1'294.75,1'294.75,0.00,0.00,1'249.85,1'344.90,1'344.90,0.00,0.00,931.40,1'002.25,1'002.25,0.00,0.00,1'475.80,1'587.95,1'587.95,0.00,0.00,1'191.35,1'281.90,1'281.90,0.00,0.00,977.25,1'051.50,1'051.50,0.00,0.00,,,,,,8'398.50,9'036.90,9'036.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8'398.50,9'036.90,9'036.90,0.00,0.00
REST.MONTS,Restaurant Piscine Montchoisi,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.85,305.40,305.40,0.00,0.00,891.45,959.25,959.25,0.00,0.00,592.90,638.00,638.00,0.00,0.00,539.00,579.95,579.95,0.00,0.00,379.40,408.20,408.20,0.00,0.00,517.65,557.05,557.05,0.00,0.00,956.55,1'029.25,1'029.25,0.00,0.00,1'022.35,1'100.00,1'100.00,0.00,0.00,5'183.15,5'577.10,5'577.10,0.00,0.00,5'183.15,5'577.10,5'577.10,0.00,0.00
ROUTES REV,Routes et Revêtements SA,494,250.00,269.00,269.00,0.00,0.00,750.00,807.00,807.00,0.00,0.00,550.00,591.80,591.80,0.00,0.00,700.00,753.20,753.20,0.00,0.00,750.00,807.00,807.00,0.00,0.00,750.00,807.00,807.00,0.00,0.00,750.00,807.00,807.00,0.00,0.00,750.00,807.00,807.00,0.00,0.00,5'250.00,5'649.00,5'649.00,0.00,0.00,775.00,833.90,833.90,0.00,0.00,750.00,807.00,807.00,0.00,0.00,750.00,807.00,807.00,0.00,0.00,2'189.00,2'355.35,2'355.35,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'464.00,4'803.25,4'803.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9'714.00,10'452.25,10'452.25,0.00,0.00
SOFITEL,Hôtel Sofitel Genève,245,12'055.80,12'972.00,12'972.00,0.00,0.00,12'647.85,13'609.15,13'609.15,0.00,0.00,14'404.85,15'499.50,15'499.50,0.00,0.00,12'639.90,13'600.50,13'600.50,0.00,0.00,11'604.15,12'486.05,12'486.05,0.00,0.00,12'398.20,13'340.50,13'340.50,0.00,0.00,10'571.40,11'374.95,11'374.95,0.00,0.00,7'489.10,8'058.20,8'058.20,0.00,0.00,93'811.25,100'940.85,100'940.85,0.00,0.00,8'654.10,9'311.80,9'311.80,0.00,0.00,8'619.20,9'274.30,9'274.30,0.00,0.00,11'611.55,12'493.90,12'493.90,0.00,0.00,10'013.60,10'774.60,10'774.60,0.00,0.00,11'393.20,12'259.15,12'259.15,0.00,0.00,12'145.65,13'068.75,13'068.75,0.00,0.00,12'045.90,12'961.35,12'961.35,0.00,0.00,11'492.70,12'366.20,12'366.20,0.00,0.00,11'542.55,12'419.75,12'419.75,0.00,0.00,12'774.35,13'745.30,13'745.30,0.00,0.00,11'230.25,12'083.60,12'083.60,0.00,0.00,8'818.85,9'488.95,9'488.95,0.00,0.00,130'341.90,140'247.65,140'247.65,0.00,0.00,8'185.35,8'807.40,8'807.40,0.00,0.00,9'802.00,10'546.85,10'546.85,0.00,0.00,19'269.75,20'734.20,20'734.20,0.00,0.00,14'622.65,15'734.00,15'734.00,0.00,0.00,14'874.05,16'004.45,16'004.45,0.00,0.00,16'541.80,17'799.10,17'799.10,0.00,0.00,17'284.45,18'598.15,18'598.15,0.00,0.00,14'107.30,15'179.40,15'179.40,0.00,0.00,15'199.85,16'355.10,16'355.10,0.00,0.00,15'520.75,16'700.25,16'700.25,0.00,0.00,14'875.05,16'005.50,16'005.50,0.00,0.00,12'898.05,13'878.25,13'878.25,0.00,0.00,173'181.05,186'342.65,186'342.65,0.00,0.00,10'509.75,11'308.35,11'308.35,0.00,0.00,14'669.85,15'784.75,15'784.75,0.00,0.00,16'885.70,18'168.95,18'168.95,0.00,0.00,14'348.85,15'439.50,15'439.50,0.00,0.00,12'365.55,13'305.40,13'305.40,0.00,0.00,16'270.80,17'507.35,17'507.35,0.00,0.00,17'229.85,18'539.35,18'539.35,0.00,0.00,16'701.30,17'970.70,17'970.70,0.00,0.00,15'044.00,16'187.45,16'187.45,0.00,0.00,15'788.90,16'988.95,16'988.95,0.00,0.00,12'405.50,13'348.45,13'348.45,0.00,0.00,11'161.85,12'010.15,12'010.15,0.00,0.00,173'381.90,186'559.35,186'559.35,0.00,0.00,570'716.10,614'090.50,614'090.50,0.00,0.00
SOFITEL RE,Restaurant Sofitel Genève,499,,,,,,,,,,,,,,,,,,,,,,,,,,158.65,170.75,170.75,0.00,0.00,448.75,482.75,482.75,0.00,0.00,411.00,442.30,442.30,0.00,0.00,1'018.40,1'095.80,1'095.80,0.00,0.00,362.95,390.50,390.50,0.00,0.00,327.15,352.00,352.00,0.00,0.00,669.35,720.20,720.20,0.00,0.00,457.40,492.10,492.10,0.00,0.00,542.00,583.15,583.15,0.00,0.00,365.15,393.00,393.00,0.00,0.00,743.00,799.55,799.55,0.00,0.00,470.00,505.65,505.65,0.00,0.00,482.90,519.55,519.55,0.00,0.00,561.25,603.90,603.90,0.00,0.00,575.20,618.95,618.95,0.00,0.00,577.20,621.10,621.10,0.00,0.00,6'133.55,6'599.65,6'599.65,0.00,0.00,411.50,442.80,442.80,0.00,0.00,432.45,465.25,465.25,0.00,0.00,669.45,720.45,720.45,0.00,0.00,576.40,620.20,620.20,0.00,0.00,442.95,476.50,476.50,0.00,0.00,496.15,533.75,533.75,0.00,0.00,537.65,578.50,578.50,0.00,0.00,414.75,446.25,446.25,0.00,0.00,404.15,434.95,434.95,0.00,0.00,475.45,511.65,511.65,0.00,0.00,553.75,595.80,595.80,0.00,0.00,636.30,684.75,684.75,0.00,0.00,6'050.95,6'510.85,6'510.85,0.00,0.00,419.65,451.55,451.55,0.00,0.00,580.45,624.55,624.55,0.00,0.00,670.00,721.00,721.00,0.00,0.00,619.80,666.85,666.85,0.00,0.00,537.35,578.30,578.30,0.00,0.00,388.85,418.35,418.35,0.00,0.00,502.45,540.55,540.55,0.00,0.00,485.60,522.45,522.45,0.00,0.00,429.90,462.60,462.60,0.00,0.00,538.30,579.15,579.15,0.00,0.00,595.65,640.95,640.95,0.00,0.00,570.40,613.85,613.85,0.00,0.00,6'338.40,6'820.15,6'820.15,0.00,0.00,19'541.30,21'026.45,21'026.45,0.00,0.00
SOURCE,Els la Source,398,818.75,880.85,880.85,0.00,0.00,387.35,416.75,416.75,0.00,0.00,425.45,457.75,457.75,0.00,0.00,259.30,279.00,279.00,0.00,0.00,815.65,877.70,877.70,0.00,0.00,527.90,568.00,568.00,0.00,0.00,250.75,269.85,269.85,0.00,0.00,,,,,,3'485.15,3'749.90,3'749.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'485.15,3'749.90,3'749.90,0.00,0.00
SOURCES,Hostellerie les Sources sa,410,,,,,,2'819.20,3'033.45,3'033.45,0.00,0.00,4'175.75,4'493.15,4'493.15,0.00,0.00,3'758.80,4'044.45,4'044.45,0.00,0.00,3'216.20,3'460.60,3'460.60,0.00,0.00,2'933.95,3'156.95,3'156.95,0.00,0.00,718.90,773.55,773.55,0.00,0.00,1'297.25,1'395.80,1'395.80,0.00,0.00,18'920.05,20'357.95,20'357.95,0.00,0.00,4'018.90,4'324.25,4'324.25,0.00,0.00,3'738.80,4'022.95,4'022.95,0.00,0.00,4'134.50,4'448.70,4'448.70,0.00,0.00,2'707.60,2'913.40,2'913.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14'599.80,15'709.30,15'709.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33'519.85,36'067.25,36'067.25,0.00,0.00
ST-GERVAIS,HCM Sàrl,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.95,616.50,616.50,0.00,0.00,2'655.50,2'857.30,2'857.30,0.00,0.00,2'717.45,2'924.00,2'924.00,0.00,0.00,2'826.25,3'041.00,3'041.00,0.00,0.00,2'454.65,2'641.10,2'641.10,0.00,0.00,1'988.50,2'139.65,2'139.65,0.00,0.00,13'215.30,14'219.55,14'219.55,0.00,0.00,13'215.30,14'219.55,14'219.55,0.00,0.00
STRASBOURG,Hôtel Strasbourg Univers,322,6'092.95,6'555.95,6'555.95,0.00,0.00,6'164.40,6'632.95,6'632.95,0.00,0.00,7'093.60,7'632.70,7'632.70,0.00,0.00,6'222.35,6'695.30,6'695.30,0.00,0.00,5'372.30,5'780.65,5'780.65,0.00,0.00,5'832.55,6'275.85,6'275.85,0.00,0.00,5'266.05,5'666.25,5'666.25,0.00,0.00,4'671.85,5'026.95,5'026.95,0.00,0.00,46'716.05,50'266.60,50'266.60,0.00,0.00,3'954.10,4'254.55,4'254.55,0.00,0.00,4'601.45,4'951.15,4'951.15,0.00,0.00,5'684.30,6'116.30,6'116.30,0.00,0.00,5'157.55,5'549.55,5'549.55,0.00,0.00,6'378.60,6'863.30,6'863.30,0.00,0.00,5'968.40,6'421.95,6'421.95,0.00,0.00,6'420.00,6'907.90,6'907.90,0.00,0.00,6'812.20,7'329.95,7'329.95,0.00,0.00,6'036.05,6'494.75,6'494.75,0.00,0.00,5'034.55,5'417.15,5'417.15,0.00,0.00,4'121.45,4'434.65,4'434.65,0.00,0.00,4'104.20,4'416.05,4'416.05,0.00,0.00,64'272.85,69'157.25,69'157.25,0.00,0.00,3'616.35,3'891.10,3'891.10,0.00,0.00,4'853.70,5'222.60,5'222.60,0.00,0.00,6'802.15,7'319.05,7'319.05,0.00,0.00,5'500.20,5'918.20,5'918.20,0.00,0.00,5'820.65,6'263.05,6'263.05,0.00,0.00,6'722.35,7'233.25,7'233.25,0.00,0.00,6'599.70,7'101.25,7'101.25,0.00,0.00,5'499.25,5'917.20,5'917.20,0.00,0.00,5'965.75,6'419.15,6'419.15,0.00,0.00,5'474.15,5'890.20,5'890.20,0.00,0.00,4'156.00,4'471.95,4'471.95,0.00,0.00,4'108.05,4'420.30,4'420.30,0.00,0.00,65'118.30,70'067.30,70'067.30,0.00,0.00,2'877.75,3'096.45,3'096.45,0.00,0.00,4'518.30,4'861.75,4'861.75,0.00,0.00,6'072.95,6'534.55,6'534.55,0.00,0.00,5'386.95,5'796.35,5'796.35,0.00,0.00,5'942.25,6'393.85,6'393.85,0.00,0.00,7'097.55,7'637.00,7'637.00,0.00,0.00,7'185.40,7'731.60,7'731.60,0.00,0.00,6'818.10,7'336.25,7'336.25,0.00,0.00,6'608.45,7'110.70,7'110.70,0.00,0.00,6'563.95,7'062.75,7'062.75,0.00,0.00,7'225.15,7'774.20,7'774.20,0.00,0.00,6'344.55,6'826.75,6'826.75,0.00,0.00,72'641.35,78'162.20,78'162.20,0.00,0.00,248'748.55,267'653.35,267'653.35,0.00,0.00
SUITEHOTEL,Suitehôtel,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'086.70,4'397.25,4'397.25,0.00,0.00,6'973.70,7'503.80,7'503.80,0.00,0.00,10'375.55,11'164.10,11'164.10,0.00,0.00,9'472.20,10'192.05,10'192.05,0.00,0.00,10'761.90,11'579.85,11'579.85,0.00,0.00,12'720.75,13'687.55,13'687.55,0.00,0.00,12'718.85,13'685.45,13'685.45,0.00,0.00,10'845.45,11'669.65,11'669.65,0.00,0.00,77'955.10,83'879.70,83'879.70,0.00,0.00,77'955.10,83'879.70,83'879.70,0.00,0.00
SYNGENTA,Syngenta,368,9'322.45,10'031.00,10'031.00,0.00,0.00,9'431.95,10'148.75,10'148.75,0.00,0.00,9'341.25,10'051.20,10'051.20,0.00,0.00,9'374.65,10'087.15,10'087.15,0.00,0.00,9'400.45,10'114.90,10'114.90,0.00,0.00,9'316.45,10'024.45,10'024.45,0.00,0.00,9'366.55,10'078.40,10'078.40,0.00,0.00,9'414.30,10'129.80,10'129.80,0.00,0.00,74'968.05,80'665.65,80'665.65,0.00,0.00,9'325.95,10'034.75,10'034.75,0.00,0.00,9'310.70,10'018.35,10'018.35,0.00,0.00,9'325.60,10'034.35,10'034.35,0.00,0.00,9'436.75,10'153.95,10'153.95,0.00,0.00,9'289.70,9'995.70,9'995.70,0.00,0.00,9'321.35,10'029.80,10'029.80,0.00,0.00,9'245.10,9'947.75,9'947.75,0.00,0.00,9'281.45,9'986.85,9'986.85,0.00,0.00,9'366.95,10'078.85,10'078.85,0.00,0.00,9'205.70,9'905.35,9'905.35,0.00,0.00,9'269.70,9'974.20,9'974.20,0.00,0.00,9'225.05,9'926.10,9'926.10,0.00,0.00,111'604.00,120'086.00,120'086.00,0.00,0.00,9'160.70,9'856.95,9'856.95,0.00,0.00,9'370.70,10'082.85,10'082.85,0.00,0.00,9'309.20,10'016.65,10'016.65,0.00,0.00,9'338.15,10'047.85,10'047.85,0.00,0.00,9'283.60,9'989.15,9'989.15,0.00,0.00,9'461.30,10'180.40,10'180.40,0.00,0.00,9'688.45,10'424.80,10'424.80,0.00,0.00,9'330.20,10'039.25,10'039.25,0.00,0.00,9'309.20,10'016.70,10'016.70,0.00,0.00,9'204.55,9'904.10,9'904.10,0.00,0.00,9'236.95,9'938.95,9'938.95,0.00,0.00,9'361.85,10'073.35,10'073.35,0.00,0.00,112'054.85,120'571.00,120'571.00,0.00,0.00,9'191.95,9'890.55,9'890.55,0.00,0.00,9'236.95,9'938.95,9'938.95,0.00,0.00,9'197.00,9'895.95,9'895.95,0.00,0.00,9'184.45,9'882.45,9'882.45,0.00,0.00,9'205.50,9'905.10,9'905.10,0.00,0.00,9'258.20,9'961.80,9'961.80,0.00,0.00,9'308.45,10'015.90,10'015.90,0.00,0.00,9'234.30,9'936.10,9'936.10,0.00,0.00,12'772.00,13'742.65,13'742.65,0.00,0.00,11'954.95,12'863.50,12'863.50,0.00,0.00,13'710.20,14'752.15,14'752.15,0.00,0.00,11'005.70,11'842.05,11'842.05,0.00,0.00,123'259.65,132'627.15,132'627.15,0.00,0.00,421'886.55,453'949.80,453'949.80,0.00,0.00
